"","STATE","AGE","SEX","PER_TYP","INJ_SEV","ST_CASE","MONTH","DAY","HOUR","MINUTE","YEAR"
"1",1,23,1,1,4,10001,1,2,18,15,2009
"2",1,37,1,1,3,10001,1,2,18,15,2009
"3",1,47,1,6,4,10002,1,1,20,0,2009
"4",1,52,1,1,0,10002,1,1,20,0,2009
"5",1,40,1,1,4,10003,1,1,15,59,2009
"6",1,47,2,2,4,10003,1,1,15,59,2009
"7",1,80,2,1,3,10003,1,1,15,59,2009
"8",1,74,1,1,4,10004,1,3,8,40,2009
"9",1,71,1,1,1,10004,1,3,8,40,2009
"10",1,62,1,2,1,10004,1,3,8,40,2009
"11",1,27,1,1,4,10005,1,3,0,5,2009
"12",1,28,2,1,4,10006,1,6,14,50,2009
"13",1,45,1,1,0,10006,1,6,14,50,2009
"14",1,59,1,1,4,10007,1,7,5,30,2009
"15",1,32,1,5,4,10008,1,7,19,50,2009
"16",1,44,2,1,0,10008,1,7,19,50,2009
"17",1,42,1,1,4,10009,1,8,17,48,2009
"18",1,20,1,1,0,10010,1,9,21,30,2009
"19",1,999,9,2,0,10010,1,9,21,30,2009
"20",1,999,9,2,0,10010,1,9,21,30,2009
"21",1,18,2,1,4,10010,1,9,21,30,2009
"22",1,17,1,2,4,10010,1,9,21,30,2009
"23",1,11,1,2,4,10010,1,9,21,30,2009
"24",1,44,2,1,4,10011,1,13,9,5,2009
"25",1,57,1,1,4,10012,1,15,14,45,2009
"26",1,42,2,2,3,10012,1,15,14,45,2009
"27",1,999,9,2,0,10012,1,15,14,45,2009
"28",1,27,1,1,0,10013,1,15,19,58,2009
"29",1,21,1,1,4,10013,1,15,19,58,2009
"30",1,41,1,1,4,10014,1,17,15,0,2009
"31",1,25,1,1,4,10015,1,21,22,45,2009
"32",1,25,1,2,3,10015,1,21,22,45,2009
"33",1,40,2,1,4,10016,1,21,10,10,2009
"34",1,4,2,2,1,10016,1,21,10,10,2009
"35",1,48,1,1,0,10016,1,21,10,10,2009
"36",1,60,2,1,4,10017,1,22,8,38,2009
"37",1,80,2,2,4,10017,1,22,8,38,2009
"38",1,50,2,1,3,10017,1,22,8,38,2009
"39",1,40,2,2,3,10017,1,22,8,38,2009
"40",1,39,2,2,3,10017,1,22,8,38,2009
"41",1,22,1,1,4,10018,1,1,0,54,2009
"42",1,23,1,2,3,10018,1,1,0,54,2009
"43",1,61,1,1,4,10019,1,14,17,40,2009
"44",1,52,1,1,3,10019,1,14,17,40,2009
"45",1,31,1,1,4,10020,1,21,22,37,2009
"46",1,13,1,1,4,10021,1,25,13,45,2009
