STATE,ST_CASE,DAY,MONTH,HOUR,MINUTE,AGE,SEX,PER_TYP,INJ_SEV
1,10065,26,1,15,30,61,1,1,3
1,10066,27,1,6,44,17,1,1,4
1,10067,27,1,23,50,57,1,1,4
1,10068,27,1,20,15,32,1,1,4
1,10068,27,1,20,15,60,2,1,4
1,10069,28,1,7,5,55,1,1,4
1,10069,28,1,7,5,45,1,1,4
1,10070,29,1,4,45,18,1,1,4
1,10071,29,1,6,15,43,1,1,4
1,10071,29,1,6,15,40,2,2,4
1,10072,31,1,12,8,62,1,1,4
1,10073,31,1,14,42,81,1,1,4
1,10074,1,2,7,50,27,1,1,4
1,10074,1,2,7,50,2,1,2,4
1,10075,1,2,15,10,68,1,1,4
1,10076,22,2,21,20,17,2,1,4
1,10076,22,2,21,20,51,1,1,0
1,10077,12,2,3,14,49,2,5,4
1,10077,12,2,3,14,54,1,1,0
1,10078,7,2,3,15,73,1,1,4
1,10078,7,2,3,15,48,2,1,0
1,10078,7,2,3,15,59,1,2,0
1,10079,5,2,15,26,25,1,1,4
1,10080,19,1,21,11,37,2,5,4
1,10080,19,1,21,11,80,1,1,0
1,10081,31,1,20,45,24,1,1,2
1,10081,31,1,20,45,25,1,2,4
1,10082,2,2,20,35,30,1,1,3
1,10082,2,2,20,35,41,2,1,3
1,10082,2,2,20,35,9,2,2,4
1,10083,2,2,21,29,34,2,1,4
1,10083,2,2,21,29,10,1,2,3
1,10083,2,2,21,29,998,1,1,3
1,10084,2,2,17,5,18,1,1,4
1,10084,2,2,17,5,47,1,1,0
1,10084,2,2,17,5,22,1,1,0
1,10085,2,2,6,50,42,2,1,4
1,10086,3,2,6,41,18,1,1,4
1,10087,3,2,21,30,31,1,1,4
1,10088,4,2,1,0,24,1,1,4
1,10089,4,2,1,43,22,1,1,4
1,10090,7,2,20,15,26,1,1,4
1,10090,7,2,20,15,18,1,1,3
1,10090,7,2,20,15,17,2,2,1
1,10091,8,2,22,38,43,1,1,4
1,10092,8,2,14,15,33,1,1,4
1,10093,8,2,3,31,31,1,1,4
1,10094,8,2,18,23,30,1,5,4
1,10094,8,2,18,23,29,2,1,0
1,10094,8,2,18,23,34,1,1,0
1,10094,8,2,18,23,65,2,1,0
1,10095,8,2,6,50,39,1,1,4
1,10096,9,2,9,35,33,2,1,4
1,10097,9,2,18,30,41,1,1,4
1,10097,9,2,18,30,33,1,2,0
1,10097,9,2,18,30,50,2,1,0
1,10098,10,2,15,45,37,1,1,3
1,10098,10,2,15,45,54,1,1,4
1,10099,10,2,12,35,17,2,1,3
1,10099,10,2,12,35,15,2,2,4
1,10099,10,2,12,35,15,2,2,0
1,10099,10,2,12,35,15,2,2,3
1,10100,11,2,14,5,52,1,1,3
1,10100,11,2,14,5,24,2,2,4
1,10101,11,2,14,21,84,1,1,4
1,10102,11,2,17,40,37,1,1,4
1,10102,11,2,17,40,65,1,1,0
1,10103,12,2,18,14,78,1,5,4
1,10103,12,2,18,14,37,2,1,0
1,10103,12,2,18,14,16,1,2,0
1,10103,12,2,18,14,9,2,2,0
1,10103,12,2,18,14,14,1,2,0
1,10104,12,2,6,47,50,1,1,1
1,10104,12,2,6,47,36,2,1,4
1,10105,12,2,13,15,32,2,1,2
1,10105,12,2,13,15,62,1,2,3
1,10105,12,2,13,15,1,2,2,4
1,10106,13,2,7,20,17,2,1,1
1,10106,13,2,7,20,42,1,1,4
1,10107,14,2,17,30,24,1,1,4
1,10109,15,2,9,30,27,2,1,4
1,10110,15,2,19,30,79,1,1,2
1,10110,15,2,19,30,74,2,2,3
1,10110,15,2,19,30,78,2,2,4
1,10111,12,2,17,25,57,1,1,1
1,10111,12,2,17,25,15,2,2,1
1,10111,12,2,17,25,12,2,2,4
1,10112,17,2,22,15,56,2,1,4
1,10113,18,2,0,40,41,2,5,4
1,10113,18,2,0,40,19,2,1,0
1,10113,18,2,0,40,19,1,2,0
1,10114,18,2,19,10,61,1,1,1
1,10114,18,2,19,10,52,2,2,4
1,10115,19,2,20,15,48,1,5,4
1,10115,19,2,20,15,36,1,1,0
1,10115,19,2,20,15,24,1,2,0
1,10115,19,2,20,15,11,1,2,0
1,10116,21,2,11,50,32,2,1,4
1,10116,21,2,11,50,46,1,1,0
1,10117,21,2,12,53,21,1,1,3
1,10117,21,2,12,53,19,1,2,4
1,10118,21,2,21,32,58,1,1,4
1,10119,23,2,12,2,20,2,1,4
1,10119,23,2,12,2,14,1,2,3
1,10119,23,2,12,2,0,2,2,2
1,10119,23,2,12,2,43,1,1,1
1,10120,23,2,18,55,42,1,1,3
1,10120,23,2,18,55,6,1,2,2
1,10120,23,2,18,55,63,1,1,1
1,10120,23,2,18,55,64,2,1,4
1,10121,23,2,16,31,64,1,1,4
1,10121,23,2,16,31,36,1,1,1
1,10121,23,2,16,31,10,1,2,1
1,10121,23,2,16,31,58,1,1,3
1,10121,23,2,16,31,52,2,2,3
1,10122,23,2,15,30,29,1,1,4
1,10124,23,2,20,50,66,2,1,2
1,10124,23,2,20,50,85,1,2,4
1,10124,23,2,20,50,22,2,1,2
1,10125,24,2,21,42,30,1,5,4
1,10125,24,2,21,42,52,2,1,1
1,10126,24,2,13,50,85,2,1,3
1,10126,24,2,13,50,85,1,2,4
1,10126,24,2,13,50,51,1,1,3
1,10126,24,2,13,50,13,2,2,3
1,10126,24,2,13,50,12,1,2,3
1,10126,24,2,13,50,51,2,2,3
1,10127,24,2,14,42,53,2,1,4
1,10127,24,2,14,42,53,2,1,2
1,10127,24,2,14,42,40,2,2,2
1,10127,24,2,14,42,42,1,1,0
1,10128,25,2,19,5,47,1,1,4
1,10129,25,2,8,44,51,1,1,4
1,10130,27,2,5,30,52,2,1,4
1,10130,27,2,5,30,71,1,1,2
1,10131,28,2,6,8,36,1,1,4
1,10132,28,2,6,29,24,1,1,4
1,10133,1,3,7,40,41,2,1,4
1,10134,1,3,18,10,64,1,1,4
1,10135,1,3,21,5,59,1,1,4
1,10135,1,3,21,5,48,1,1,3
1,10135,1,3,21,5,41,2,2,3
1,10136,2,3,3,0,39,1,1,4
1,10137,2,3,13,54,16,1,1,2
1,10137,2,3,13,54,13,1,2,2
1,10137,2,3,13,54,70,2,1,4
1,10137,2,3,13,54,23,2,1,2
1,10138,6,3,7,0,60,2,1,4
1,10139,23,2,9,31,30,2,1,2
1,10139,23,2,9,31,53,1,1,4
1,10139,23,2,9,31,56,1,1,0
1,10140,25,2,2,55,33,1,1,0
1,10140,25,2,2,55,31,2,1,4
1,10140,25,2,2,55,43,1,2,3
1,10141,5,3,21,6,22,2,5,4
1,10141,5,3,21,6,55,2,1,0
1,10141,5,3,21,6,47,2,1,0
1,10141,5,3,21,6,47,2,2,0
1,10141,5,3,21,6,61,1,1,0
1,10141,5,3,21,6,39,1,1,0
1,10141,5,3,21,6,30,2,1,0
1,10141,5,3,21,6,45,2,1,0
1,10142,25,3,23,0,25,2,5,4
1,10142,25,3,23,0,999,9,1,0
1,10143,5,3,20,4,49,1,5,4
1,10143,5,3,20,4,999,9,1,0
1,10144,6,3,21,10,67,1,5,4
1,10144,6,3,21,10,50,1,1,0
1,10145,6,3,18,0,34,2,1,0
1,10145,6,3,18,0,21,2,1,1
1,10145,6,3,18,0,20,2,2,1
1,10145,6,3,18,0,0,2,2,4
1,10145,6,3,18,0,2,2,2,3
1,10146,9,3,18,20,81,1,5,4
1,10146,9,3,18,20,64,2,1,0
1,10147,11,3,17,38,41,1,1,4
1,10147,11,3,17,38,78,1,1,4
1,10148,11,3,20,20,20,1,1,4
1,10149,11,3,18,45,52,2,1,3
1,10149,11,3,18,45,47,2,2,4
1,10149,11,3,18,45,30,1,2,3
1,10150,12,3,16,47,20,1,1,4
1,10150,12,3,16,47,23,2,2,3
1,10151,13,3,17,40,25,2,1,4
1,10151,13,3,17,40,54,1,1,2
1,10152,6,2,20,8,23,1,5,4
1,10152,6,2,20,8,20,1,1,0
1,10153,22,2,14,45,38,1,1,4
1,10154,23,2,21,45,53,2,1,3
1,10154,23,2,21,45,45,1,1,4
1,10155,27,2,16,50,56,1,1,3
1,10155,27,2,16,50,59,2,2,4
1,10155,27,2,16,50,37,2,2,3
1,10156,1,3,5,50,25,1,1,4
1,10157,4,3,4,45,27,1,1,4
1,10158,6,3,13,30,69,1,1,3
1,10158,6,3,13,30,60,1,2,4
1,10158,6,3,13,30,50,1,1,0
1,10159,8,3,5,50,19,1,1,0
1,10159,8,3,5,50,19,1,1,4
1,10159,8,3,5,50,20,1,2,2
1,10159,8,3,5,50,22,1,2,3
1,10159,8,3,5,50,21,2,2,2
1,10160,9,3,6,21,26,1,5,4
1,10160,9,3,6,21,36,1,1,0
1,10161,10,3,17,54,25,1,1,4
1,10161,10,3,17,54,30,1,1,1
1,10161,10,3,17,54,69,2,2,0
1,10162,13,3,19,47,67,1,5,4
1,10162,13,3,19,47,30,2,1,0
1,10163,15,3,17,8,59,1,1,0
1,10163,15,3,17,8,75,1,1,4
1,10164,15,3,7,25,31,2,1,4
1,10164,15,3,7,25,45,2,1,4
1,10165,15,3,6,28,59,1,1,4
1,10166,16,3,5,5,26,1,1,4
1,10167,16,3,15,40,29,2,1,4
1,10168,17,3,20,20,74,1,5,4
1,10168,17,3,20,20,28,1,1,0
1,10168,17,3,20,20,24,2,2,0
1,10169,17,3,15,30,87,1,1,0
1,10169,17,3,15,30,23,1,1,4
1,10170,17,3,7,56,55,1,1,4
1,10171,17,3,8,56,18,1,1,3
1,10171,17,3,8,56,19,1,2,4
1,10172,18,3,7,0,28,1,1,4
1,10173,18,3,10,25,36,1,1,0
1,10173,18,3,10,25,33,1,2,0
1,10173,18,3,10,25,33,2,2,4
1,10173,18,3,10,25,11,2,2,3
1,10173,18,3,10,25,4,1,2,3
1,10173,18,3,10,25,33,1,1,2
1,10174,18,3,16,20,22,1,1,4
1,10175,20,3,15,41,53,1,1,4
1,10176,21,3,8,40,55,1,1,4
1,10177,21,3,10,15,29,1,1,4
1,10178,21,3,14,40,33,2,1,4
1,10178,21,3,14,40,65,1,1,3
1,10179,22,3,12,17,55,2,1,4
1,10179,22,3,12,17,55,1,2,1
1,10179,22,3,12,17,42,2,1,2
1,10179,22,3,12,17,998,1,2,9
1,10180,23,3,0,1,25,1,1,4
1,10181,23,3,16,0,53,1,1,4
1,10182,24,3,16,30,17,2,1,0
1,10182,24,3,16,30,55,2,2,0
1,10182,24,3,16,30,15,2,2,0
1,10182,24,3,16,30,80,1,1,4
1,10182,24,3,16,30,7,1,2,4
1,10182,24,3,16,30,12,1,2,4
1,10183,25,3,12,20,48,2,6,4
1,10183,25,3,12,20,36,1,1,0
1,10184,25,3,19,25,67,1,1,4
1,10185,26,3,20,52,30,2,1,2
1,10185,26,3,20,52,80,1,1,4
1,10186,26,3,6,5,34,1,5,4
1,10186,26,3,6,5,67,2,1,0
1,10186,26,3,6,5,51,1,1,0
1,10187,27,3,20,49,67,1,1,4
1,10187,27,3,20,49,20,1,1,4
1,10188,27,3,13,0,45,1,1,4
1,10189,27,3,19,46,34,1,1,4
1,10190,28,3,6,55,72,1,1,4
1,10190,28,3,6,55,23,1,1,0
1,10191,28,3,23,50,25,1,1,4
1,10192,28,3,14,38,82,2,1,4
1,10192,28,3,14,38,74,1,1,3
1,10192,28,3,14,38,65,2,2,3
1,10193,29,3,10,30,17,2,1,4
1,10194,29,3,22,15,49,1,1,0
1,10194,29,3,22,15,28,1,1,4
1,10194,29,3,22,15,998,2,2,1
1,10195,30,3,19,50,14,1,1,4
1,10195,30,3,19,50,42,2,1,0
1,10196,30,3,14,43,18,1,1,4
1,10196,30,3,14,43,64,1,3,0
1,10197,31,3,14,45,62,2,10,4
