STATE,ST_CASE,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LAT,LON
1,10106,13,2,2018,3,7,20,31.21680278,-85.1914
1,10107,14,2,2018,4,17,30,34.36038056,-87.6025
1,10109,15,2,2018,5,9,30,33.42483333,-86.1454
1,10110,15,2,2018,5,19,30,34.04458333,-86.9507
1,10111,12,2,2018,2,17,25,34.72068611,-86.746
1,10112,17,2,2018,7,22,15,34.488075,-88.0457
1,10113,18,2,2018,1,0,40,32.60624444,-85.4253
1,10114,18,2,2018,1,19,10,32.34393611,-85.2532
1,10115,19,2,2018,2,20,15,31.11956944,-88.1086
1,10116,21,2,2018,4,11,50,30.69036944,-87.505
1,10117,21,2,2018,4,12,53,33.88346944,-85.6324
1,10118,21,2,2018,4,21,32,31.42843333,-87.109
1,10119,23,2,2018,6,12,2,34.42733333,-86.2614
1,10120,23,2,2018,6,18,55,33.40974444,-86.936
1,10121,23,2,2018,6,16,31,34.54055833,-86.919
1,10122,23,2,2018,6,15,30,34.17080278,-85.7947
1,10124,23,2,2018,6,20,50,30.2387,-87.8877
1,10125,24,2,2018,7,21,42,32.4795,-85.0307
1,10126,24,2,2018,7,13,50,34.75880556,-86.4744
1,10127,24,2,2018,7,14,42,33.50921944,-86.8492
1,10128,25,2,2018,1,19,5,32.52511944,-85.3031
1,10129,25,2,2018,1,8,44,33.57270278,-86.449
1,10130,27,2,2018,3,5,30,33.96187778,-87.2138
1,10131,28,2,2018,4,6,8,33.97631389,-85.4773
1,10132,28,2,2018,4,6,29,33.53423611,-86.7688
1,10133,1,3,2018,5,7,40,34.03749167,-85.6109
1,10134,1,3,2018,5,18,10,33.68640833,-85.8883
1,10135,1,3,2018,5,21,5,33.85486667,-87.1855
1,10136,2,3,2018,6,3,0,33.80736111,-87.142
1,10137,2,3,2018,6,13,54,32.39230278,-86.1716
1,10138,6,3,2018,3,7,0,34.27328333,-86.0326
1,10139,23,2,2018,6,9,31,33.08669444,-87.6796
1,10140,25,2,2018,1,2,55,34.10760278,-86.8663
1,10141,5,3,2018,2,21,6,33.51941111,-86.858
1,10142,25,3,2018,1,23,0,31.5473,-86.88
1,10143,5,3,2018,2,20,4,32.32654722,-86.2957
1,10144,6,3,2018,3,21,10,34.22774722,-86.2598
1,10145,6,3,2018,3,18,0,30.65857778,-88.1119
1,10146,9,3,2018,6,18,20,32.436025,-86.9914
1,10147,11,3,2018,1,17,38,33.69628333,-86.7012
1,10148,11,3,2018,1,20,20,34.591475,-86.5627
1,10149,11,3,2018,1,18,45,31.0428,-87.207
1,10150,12,3,2018,2,16,47,33.21592778,-87.5633
1,10151,13,3,2018,3,17,40,32.68163333,-85.313
1,10152,6,2,2018,3,20,8,33.82590833,-85.7694
1,10153,22,2,2018,5,14,45,31.35807778,-86.3444
1,10154,23,2,2018,6,21,45,33.561925,-86.8568
1,10155,27,2,2018,3,16,50,31.43478611,-85.6443
